date,total_case_cnt,daily_case_cnt,total_tested_cnt,daily_tested_cnt,total_mortal,daily_mortal,total_recovered,daily_recovered,total_active
11.03.2020,1,1,1249,1249,,,,,1
12.03.2020,2,1,2498,1249,,,,,2
13.03.2020,5,3,3747,1249,,,,,5
14.03.2020,6,1,4996,1249,,,,,6
15.03.2020,18,12,6245,1249,,,,,18
16.03.2020,47,29,7494,1249,,,,,47
17.03.2020,98,51,8743,1249,1,1,,,97
18.03.2020,191,93,9997,1254,2,1,,,189
19.03.2020,359,168,11978,1981,4,2,,,355
20.03.2020,670,311,15634,3656,9,5,,,661
21.03.2020,947,277,18587,2953,21,12,,,926
22.03.2020,1236,289,20345,1758,30,9,,,1206
